gene_id	gene_name	GM12878_REP1	GM12878_REP2	H1_REP1	H1_REP2	K562_REP1	K562_REP2	MCF7_REP1	MCF7_REP2
ENSG00000222451	RN7SKP143	0	0	2	0	0	0	0	0
ENSG00000222452	RN7SKP59	0	0	0	0	0	0	0	0
ENSG00000222455	RNA5SP296	0	0	0	0	0	0	0	0
ENSG00000222457	RNU6-121P	0	0	0	0	0	0	0	0
ENSG00000222459	RNA5SP293	0	0	0	0	0	0	0	0
ENSG00000222460	RN7SKP271	0	0	0	0	0	0	0	0
ENSG00000222463	AP005138.1	0	0	0	1	0	0	0	0
ENSG00000222465	RNU2-5P	0	0	0	0	0	0	1	0
ENSG00000222467	Y_RNA	0	0	0	0	0	0	0	0
ENSG00000222468	RNA5SP261	0	0	0	0	0	0	0	0
ENSG00000222472	RN7SKP7	0	0	0	0	0	0	1	1
ENSG00000222477	RNU2-23P	0	0	0	0	0	0	1	0
ENSG00000222481	AC012150.1	0	0	0	0	0	0	0	0
ENSG00000222482	AC005071.1	0	0	2	1	0	0	1	0
ENSG00000222486	RNU6-77P	0	0	0	0	0	0	0	0
ENSG00000222488	RNU6-285P	0	0	0	0	0	0	0	0
ENSG00000222489	SNORA79	32	49	19	7	38	3	4	3
ENSG00000222490	RNU6-712P	0	0	0	0	0	0	0	0
ENSG00000222492	AC092069.1	0	0	0	0	0	0	0	1
ENSG00000222493	Y_RNA	0	0	0	0	0	0	4	1
ENSG00000222494	AC091178.1	0	0	0	0	0	0	0	0
ENSG00000222496	RN7SKP200	0	0	0	0	0	0	0	0
ENSG00000222499	RN7SKP177	0	0	0	0	0	0	0	0
ENSG00000222500	RNA5SP475	0	0	0	0	0	0	0	0
ENSG00000222501	RNU4-25P	0	0	0	0	0	0	0	0
ENSG00000222503	Y_RNA	0	0	1	0	0	0	0	0
ENSG00000222506	Y_RNA	0	0	0	0	0	0	0	0
ENSG00000222509	Y_RNA	0	0	0	0	0	0	0	0
ENSG00000222511	Y_RNA	0	0	0	0	0	0	0	0
ENSG00000222512	AL137019.1	0	0	0	0	0	0	0	0
ENSG00000222514	RN7SKP223	0	0	0	0	0	0	0	0
ENSG00000222515	RN7SKP240	5	0	20	9	0	0	4	0
ENSG00000222518	AL645819.1	0	0	0	0	0	0	0	0
ENSG00000222520	RNA5SP451	0	0	0	0	0	0	0	0
ENSG00000222521	AC026956.1	0	0	0	0	0	0	0	0
ENSG00000222522	RNU6-519P	0	0	0	0	0	1	0	0
ENSG00000222524	RN7SKP109	0	0	0	0	0	0	0	0
ENSG00000222526	AC060835.1	0	0	0	0	0	0	0	0
ENSG00000222529	Y_RNA	0	0	0	0	0	0	2	0
ENSG00000222532	MIR1468	0	0	0	0	0	0	0	0
ENSG00000222533	RNU6-705P	0	0	1	0	0	1	0	0
ENSG00000222536	RNU2-39P	0	0	0	0	0	0	0	0
ENSG00000222543	RN7SKP220	0	0	0	0	0	0	0	0
ENSG00000222544	RNU6-735P	0	0	0	0	0	0	0	0
